np,nc,no
2.63571,0.257568,198.758
2.76217,0.0939941,198.758
2.58941,0.245361,200.852
2.45865,-0.185547,199.386
2.24845,0.169678,198.444
2.18917,0.223389,199.177
2.28252,0.189209,198.234
2.29382,0.175781,200.224
2.25631,0.212402,197.606
2.22823,0.338135,199.596
2.29317,-0.102539,199.386
2.37112,0.163574,197.816
2.37345,-0.100098,201.167
2.38503,0.0927734,198.234
2.28055,0.413818,199.596
2.19277,0.164795,199.805
2.26346,0.0317383,198.758
2.2337,0.294189,199.177
2.22067,0.179443,200.015
2.12061,-0.0341797,197.606
2.18985,0.0744629,199.805
2.37374,0.0488281,199.386
2.3941,0.13916,196.559
2.33091,0.195313,200.852
2.54278,0.0866699,199.596
2.38436,0.164795,199.596
2.04945,0.136719,202.423
1.98973,0.194092,197.816
1.74769,0.0231934,199.386
1.89478,0.0964355,198.025
2.13879,-0.32959,196.245
2.34747,0.13916,199.596
2.5278,0.356445,198.968
2.33235,0.0268555,200.224
2.18701,0.155029,201.795
2.17012,0.246582,199.177
2.1164,0.178223,199.596
2.20373,0.00244141,198.444
2.30769,0.112305,199.596
2.27277,-0.10498,198.444
2.25976,0.150146,198.758
2.15178,0.338135,200.643
2.20402,0.0854492,198.025
2.1833,0.189209,200.852
2.22067,0.302734,199.177
2.16484,0.106201,198.444
1.97843,0.0976563,199.805
2.18931,0.194092,198.444
2.18551,-0.10376,198.968
2.16077,0.13916,199.805
2.16607,0.498047,198.234
2.17351,0.0109863,198.444
2.20731,0.0646973,199.596
2.31157,0.288086,196.978
2.35985,-0.0622559,200.434
2.27448,-0.0732422,197.397
2.27235,0.151367,201.376
2.34484,-0.032959,199.386
2.21315,0.223389,197.606
2.15,0.00610352,199.596
2.45139,0.0537109,195.407
2.46843,0.506592,198.025
2.68632,0.336914,198.444
2.73987,0.180664,198.444
2.41739,0.264893,200.643
2.40452,-0.26001,199.596
2.22048,0.167236,198.444
2.14648,0.43457,199.386
2.28598,0.112305,198.025
2.35472,0.32959,200.434
2.33983,0.24292,197.606
2.26909,0.255127,199.386
2.29898,-0.0183105,199.805
2.26691,0.136719,197.816
2.14584,0.0524902,201.167
2.28542,-0.0170898,198.025
2.14234,0.499268,199.386
2.09968,0.0854492,199.805
2.16646,0.155029,198.968
1.99142,0.422363,199.177
2.26691,0.179443,200.224
2.17204,-0.238037,197.606
2.12985,0.163574,199.596
2.31019,-0.102539,199.596
2.33394,0.147705,196.035
2.3024,0.499268,200.434
2.3861,0.00610352,199.596
2.31024,0.214844,198.968
2.14844,0.310059,202.423
2.0925,0.0952148,197.606
1.77059,-0.203857,199.177
1.95069,0.0830078,198.234
2.22812,-0.0256348,195.826
2.2807,0.268555,199.596
2.5837,0.643311,198.968
2.41783,0.166016,200.224
2.28561,0.153809,202.004
2.23524,0.281982,199.177
1.81648,0.0195313,199.596
1.81845,-0.145264,198.758
2.09234,0.109863,199.596
2.04765,-0.267334,198.968
2.17064,0.153809,198.444
2.33649,0.369873,200.434
2.23539,0.0854492,198.025
2.16446,0.157471,200.434
2.23323,0.0878906,199.177
2.16112,0.0305176,198.234
2.00096,0.0170898,199.596
2.23702,0.108643,198.025
2.30077,0.0524902,198.758
2.42334,0.0842285,199.596
2.38408,0.142822,198.758
2.36978,0.0842285,198.234
